node_id,speed_lmt,lat,lon,n_zdjec,n_wykrytych,avg_yolo_conf,existence_confidence_score
737511096,30,42.73766,23.29693,0,0,,0.0
1109448803,30,42.81406,23.25399,0,0,,0.0
1269513518,30,42.7545,23.21258,0,0,,0.0
1269513518,40,42.7545,23.21258,0,0,,0.0
1132673217,50,42.76057,23.26589,0,0,,0.0
1269513676,40,42.74712,23.22749,1,0,0.0,0.0
887132011,30,42.73794,23.27351,0,0,,0.0
887123065,40,42.72956,23.26547,0,0,,0.0
1164660447,30,42.73759,23.24279,0,0,,0.0
1132673214,50,42.761,23.26836,0,0,,0.0
875641980,20,42.7668,23.19988,0,0,,0.0
1147496109,40,42.80416,23.19794,0,0,,0.0
1226942194,60,42.83228,23.208,0,0,,0.0
875623157,30,42.80942,23.21137,0,0,,0.0
1239117092,40,42.73897,23.20354,0,0,,0.0
737510689,30,42.73156,23.28999,0,0,,0.0
871062781,60,42.82658,23.21009,0,0,,0.0
1257298235,60,42.83436,23.20579,0,0,,0.0
1172574206,40,42.74277,23.2536,0,0,,0.0
1255424208,30,42.79584,23.23062,0,0,,0.0
737511090,30,42.73565,23.29697,0,0,,0.0
863572023,30,42.73755,23.29856,0,0,,0.0
1211724597,40,42.81751,23.2348,0,0,,0.0
1259371260,30,42.75524,23.21135,0,0,,0.0
1035348951,30,42.74073,23.26931,0,0,,0.0
871078570,40,42.80805,23.21806,0,0,,0.0
1269521222,120,42.78201,23.19825,0,0,,0.0
887122435,20,42.73052,23.26665,0,0,,0.0
1269512182,20,42.73295,23.2524,0,0,,0.0
908996496,30,42.73275,23.28878,0,0,,0.0
969419519,30,42.7389,23.26447,0,0,,0.0
922607199,50,42.82239,23.24693,0,0,,0.0
1256434053,50,42.82744,23.20979,0,0,,0.0
1211771883,30,42.81321,23.21603,0,0,,0.0
1132672620,40,42.7696,23.28843,0,0,,0.0
922598421,50,42.79918,23.2658,0,0,,0.0
737510609,30,42.73199,23.28956,0,0,,0.0
969350445,40,42.78871,23.27258,0,0,,0.0
1272048464,30,42.73048,23.29113,0,0,,0.0
887122437,20,42.72952,23.26651,0,0,,0.0
1132672616,70,42.76662,23.28159,0,0,,0.0
737512950,30,42.74514,23.27229,0,0,,0.0
1004031789,30,42.72906,23.2484,0,0,,0.0
875641998,20,42.76782,23.19635,0,0,,0.0
